140829	 is similiar to	 140830	 with score	 0.924503185066 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140829&rhs=140830
140802	 is similiar to	 140803	 with score	 0.90738348177 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140802&rhs=140803
140801	 is similiar to	 140802	 with score	 0.90278156652 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140801&rhs=140802
140801	 is similiar to	 140803	 with score	 0.895733814785 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140801&rhs=140803
140790	 is similiar to	 140792	 with score	 0.892814888383 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140790&rhs=140792
140738	 is similiar to	 140739	 with score	 0.892464322094 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140738&rhs=140739
140799	 is similiar to	 140800	 with score	 0.88458087708 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140799&rhs=140800
140823	 is similiar to	 140831	 with score	 0.8833522317 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140823&rhs=140831
140806	 is similiar to	 140807	 with score	 0.881468985394 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140806&rhs=140807
140802	 is similiar to	 140807	 with score	 0.877149397496 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140802&rhs=140807
140804	 is similiar to	 140806	 with score	 0.874929817742 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140804&rhs=140806
140805	 is similiar to	 140806	 with score	 0.874604580601 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140805&rhs=140806
140804	 is similiar to	 140807	 with score	 0.873640419284 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140804&rhs=140807
140787	 is similiar to	 140788	 with score	 0.869244646661 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140787&rhs=140788
140790	 is similiar to	 140794	 with score	 0.866336096151 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140790&rhs=140794
140805	 is similiar to	 140807	 with score	 0.865511738227 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140805&rhs=140807
140803	 is similiar to	 140807	 with score	 0.86540824077 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140803&rhs=140807
140791	 is similiar to	 140793	 with score	 0.864489730471 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140791&rhs=140793
140801	 is similiar to	 140807	 with score	 0.864321269184 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140801&rhs=140807
140792	 is similiar to	 140794	 with score	 0.860533787522 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140792&rhs=140794
140786	 is similiar to	 140788	 with score	 0.857281691255 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140786&rhs=140788
140803	 is similiar to	 140805	 with score	 0.855481817803 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140803&rhs=140805
140790	 is similiar to	 140793	 with score	 0.855022416776 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140790&rhs=140793
140823	 is similiar to	 140829	 with score	 0.85450344397 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140823&rhs=140829
140787	 is similiar to	 140796	 with score	 0.852620083558 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140787&rhs=140796
140830	 is similiar to	 140831	 with score	 0.852448049291 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140830&rhs=140831
140793	 is similiar to	 140794	 with score	 0.852255839496 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140793&rhs=140794
140822	 is similiar to	 140823	 with score	 0.85194919502 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140822&rhs=140823
140829	 is similiar to	 140831	 with score	 0.85165711553 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140829&rhs=140831
140784	 is similiar to	 140785	 with score	 0.851445441815 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140784&rhs=140785
140778	 is similiar to	 140779	 with score	 0.851377465951 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140778&rhs=140779
140751	 is similiar to	 140752	 with score	 0.849704742407 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140751&rhs=140752
140738	 is similiar to	 140778	 with score	 0.847991032085 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140738&rhs=140778
140792	 is similiar to	 140793	 with score	 0.846836568355 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140792&rhs=140793
140823	 is similiar to	 140830	 with score	 0.84655540815 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140823&rhs=140830
140739	 is similiar to	 140778	 with score	 0.846070975474 	http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=140739&rhs=140778
